time [ps]	intensity [W]	phase [rad]
-0.88138577	279.09822	-14.4782
-0.86536058	200.41304	-14.207671
-0.84933538	109.15515	-13.906983
-0.83331019	36.677212	-13.510836
-0.81728499	4.6487283	-12.434912
-0.8012598	18.141157	-10.64767
-0.7852346	65.43829	-10.133121
-0.7692094	123.85907	-9.7689171
-0.75318421	169.45461	-9.4226968
-0.73715901	187.30796	-9.0575176
-0.72113382	178.17559	-8.6456458
-0.70510862	157.60156	-8.1605464
-0.68908342	146.74266	-7.5996399
-0.67305823	159.16448	-7.0200727
-0.65703303	191.42223	-6.4966769
-0.64100784	223.8976	-6.0465163
-0.62498264	232.13457	-5.6436068
-0.60895744	202.06609	-5.250974
-0.59293225	140.29904	-4.8172664
-0.57690705	74.599742	-4.2245743
-0.56088186	46.238718	-3.2130387
-0.54485666	99.376053	-2.1814725
-0.52883146	270.99581	-1.5986071
-0.51280627	581.13044	-1.2131773
-0.49678107	1022.3009	-0.91026102
-0.48075588	1550.8172	-0.65383807
-0.46473068	2086.9562	-0.43062583
-0.44870549	2530.3392	-0.23524954
-0.43268029	2789.3569	-0.066158812
-0.41665509	2813.8849	0.075267964
-0.4006299	2616.1754	0.1844303
-0.3846047	2269.5524	0.25287736
-0.36857951	1885.3677	0.26885121
-0.35255431	1578.3737	0.22307156
-0.33652911	1433.6403	0.12429046
-0.32050392	1484.4103	0.010808135
-0.30447872	1704.3915	-0.073280361
-0.28845353	2014.4159	-0.11191499
-0.27242833	2302.8866	-0.11528496
-0.25640313	2459.1344	-0.10356893
-0.24037794	2415.7967	-0.10038585
-0.22435274	2191.0018	-0.13486383
-0.20832755	1917.2856	-0.24389821
-0.19230235	1845.6182	-0.45115295
-0.17627715	2319.7864	-0.70037946
-0.16025196	3724.4081	-0.87650875
-0.14422676	6414.1568	-0.94225231
-0.12820157	10631.7	-0.92597049
-0.11217637	16422.203	-0.85945141
-0.096151175	23558.514	-0.7633819
-0.08012598	31502.417	-0.65002061
-0.064100784	39433.528	-0.52658349
-0.048075588	46366.283	-0.39730479
-0.032050392	51343.638	-0.26460245
-0.016025196	53656.746	-0.12976733
 0	53016.484	0.0065966338
0.016025196	49613.34	0.14426795
0.032050392	44045.201	0.28318225
0.048075588	37145.922	0.42326122
0.064100784	29782.579	0.56429256
0.08012598	22689.917	0.70587518
0.096151175	16381.397	0.84745372
0.11217637	11137.771	0.98846691
0.12820157	7046.8003	1.1286315
0.14422676	4060.9039	1.268419
0.16025196	2049.0808	1.4100053
0.17627715	834.5794	1.5601368
0.19230235	221.04128	1.7452359
0.20832755	13.391036	2.2651631
0.22435274	37.089548	4.7174763
0.24037794	154.60054	5.0041145
0.25640313	274.98987	5.1783862
0.27242833	353.40651	5.3375044
0.28845353	380.97228	5.4978413
0.30447872	369.57845	5.664966
0.32050392	337.55382	5.8407598
0.33652911	300.41445	6.0248561
0.35255431	267.51098	6.2155077
0.36857951	242.71494	6.4107087
0.3846047	226.57681	6.6090197
