wavelength [nm]	Intensity [pJ/nm]	Phase [rad]
1545.0799	567.04239	0.010114523
1546.0511	488.80259	0.032402807
1547.0234	434.83323	0.081631441
1547.997	373.51682	0.13316703
1548.9718	317.91931	0.21898709
1549.9478	257.97153	0.26817391
1550.9251	217.83825	0.28527074
1551.9036	186.92093	0.24047722
1552.8834	184.60384	0.18316961
1553.8643	177.24942	0.12292575
1554.8465	195.87088	0.084743906
1555.83	209.36549	0.071995258
1556.8147	213.17552	0.064521956
1557.8007	232.53071	0.062725421
1558.7879	259.23218	0.04608642
1559.7763	256.37002	0.042413999
1560.766	271.81978	0.029898
1561.757	292.13836	0.023848445
1562.7492	283.44592	0.027471034
1563.7427	304.65477	0.04150343
1564.7374	261.63534	0.056000192
1565.7334	217.06279	0.076666884
1566.7307	192.20891	0.086430028
1567.7293	167.57322	0.11888846
1568.7291	147.66772	0.12634137
1569.7302	101.65284	0.078482359
1570.7326	65.218066	0.020839365
1571.7362	53.311039	-0.15518046
1572.7412	49.621728	-0.23398413
1573.7474	46.617788	-0.28683971
1574.7549	36.757587	-0.29128886
1575.7638	24.44777	-0.21162679
1576.7739	15.496517	-0.2664267
1577.7853	20.062976	-0.25244015
1578.798	31.431506	-0.22755061
1579.812	38.865013	-0.17591218
1580.8273	38.266451	-0.043988697
1581.8439	35.032204	0.18009457
1582.8618	29.651767	0.4744458
1583.881	23.154796	0.87038015
1584.9016	15.933322	1.2933273
1585.9234	10.931847	1.7548252
1586.9466	7.7897207	2.289501
1587.9711	4.6467171	2.9191799
1588.9969	2.7407225	3.7244112
1590.0241	1.7228361	4.8332599
1591.0525	0.96803366	5.728739
1592.0823	0.47489171	6.3461442
1593.1135	0.36864471	7.1500421
1594.146	0.17661029	7.6267118
1595.1798	0.15376543	8.0357595
1596.2149	0.14284127	7.6481113
1597.2514	0.086403704	7.1634819
1598.2893	0.062623865	6.9412196
1599.3285	0.024243488	7.0943974
1600.3691	1.4007484E-30	8.3563154
1601.411	1.9026E-30	10.584978
1602.4542	2.5121578E-30	12.543566
1603.4988	6.4114602E-31	11.638267
1604.5448	3.2680175E-30	9.4052196
